Trial Number, Bar Width, Distance, ID, Average Time, Time 1, Time 2, Time 3, Time 4, Time 5,Time 6, Time 7, Time 8, Time 9, Time 10
3,150,450,2,0.396940255,0.605774164,0.396044016,0.34340477,0.407838583,0.345313787,0.361869574,0.327585697,0.393086672,0.362189531,0.426295757
2,200,600,2,0.415782762,0.394976854,0.393432617,0.363555908,0.419420242,0.52818799,0.460065842,0.409834385,0.414114475,0.396734715,0.377504587
1,100,300,2,0.429138851,0.445271254,0.439246655,0.418009281,0.38214612,0.383769035,0.429263353,0.418088436,0.578744888,0.415930748,0.380918741
6,50,350,3,0.503000665,0.550620079,0.478257179,0.451256752,0.518700361,0.48295927,0.477902412,0.478987694,0.498045683,0.597069979,0.496207237
5,75,525,3,0.566424608,0.475329876,0.496685505,0.614974737,0.462476969,0.711899281,0.496756792,0.620401382,0.613770962,0.511928797,0.660021782
4,100,700,3,0.575906754,0.741079807,0.498178959,0.490546703,0.495707512,0.636063576,0.69472146,0.621260643,0.49600935,0.476026297,0.609473228
7,50,750,4,0.616746998,0.732962847,0.544816256,0.698773623,0.581215858,0.626883984,0.495415449,0.578737259,0.76095295,0.639121771,0.508589983
8,25,375,4,0.672829461,0.69314003,0.712539911,0.709108829,0.706220627,0.695664644,0.631968021,0.700214624,0.655825377,0.589526415,0.634086132
9,15,225,4,0.68345685,0.608433723,0.576257467,0.68672657,0.740123749,0.628067493,0.72102809,0.606362343,0.558754683,0.772583961,0.936230421
10,25,775,5,0.729022241,0.775976896,0.929245949,0.691877604,0.735342026,0.660207272,0.646967411,0.695269585,0.728614807,0.729712248,0.69700861
11,15,465,5,0.796415114,1.069948196,0.664467335,0.849764585,0.769561291,0.768408537,0.649133921,0.808909655,0.712078571,0.928066015,0.743813038
12,10,310,5,0.883886361,0.698033094,0.712197781,0.889826775,0.779984236,0.788701534,1.863886118,0.841024399,0.754747152,0.804542303,0.705920219
13,15,945,6,1.044491982,0.968468666,1.048287392,1.056762218,1.052321672,1.052326918,0.956417322,1.169106722,0.977369785,1.174614429,0.989244699
14,10,630,6,1.050561428,1.409374237,1.106332779,0.975926876,1.058122158,0.893057585,1.03613925,1.000027418,0.974279642,1.024115086,1.02823925
15,5,315,6,1.127741241,1.144072294,1.40218997,1.414987803,1.066918612,1.130878448,1.055896521,1.034449339,1.02181983,0.958905458,1.04729414
